ID,TYPE,NAME,LATITUDE,LONGITUDE,COUNTRY,REGION
10042,small_airport,R O Ranch STOLport,30,-83,US,US-FL
10043,small_airport,Flying S Ranch Airport,28,-81,US,US-FL
10044,small_airport,Hudson River Landing Airport,34,-83,US,US-GA
10046,heliport,Lifeline Landing Area Heliport,40,-85,US,US-IN
10047,small_airport,John Scharff Airport,40,-89,US,US-IL
10048,heliport,Rusby Field,38,-86,US,US-IN
10049,small_airport,Howell Airport,40,-89,US,US-IL
10051,small_airport,Bigger (Stol) STOLport,38,-87,US,US-KY
10053,small_airport,Isley Airport,39,-88,US,US-IL
10054,heliport,Seagate Heliport,43,-71,US,US-MA
10055,small_airport,Great Lakes Airport,46,-88,US,US-MI
10059,small_airport,Pettigrew Moore Aerodrome,34,-78,US,US-NC
10061,heliport,Centra State Medical Center Heliport,40,-74,US,US-NJ
45692,small_airport,Wolf Ridge Airport,36,-83,US,US-NC
10062,small_airport,Wayne Delp Airport,42,-74,US,US-NY
10063,small_airport,Sunset Strip,40,-83,US,US-OH
10064,small_airport,Soaring Horse Airport,41,-82,US,US-OH
10067,small_airport,Sutliff Private Airport,41,-76,US,US-PA
10068,heliport,Skepton Heliport,40,-75,US,US-PA
10069,heliport,Triad Carolinas Hospital Heliport,34,-80,US,US-SC
45785,heliport,Bradley Memorial Hospital Heliport,35,-85,US,US-TN
10074,small_airport,Fox Fire Airport,37,-79,US,US-VA
10076,heliport,St Mary's Hospital Heliport,45,-88,US,US-WI
10079,small_airport,Woodbridge Field,36,-90,US,US-AR
10085,seaplane_base,Gezik Seaplane Base,28,-81,US,US-FL
10086,small_airport,Blue Ridge Flightpark Airport,29,-81,US,US-FL
10087,small_airport,Ellis Agricultural Field,31,-86,US,US-FL
10088,small_airport,Merillat Airport,42,-84,US,US-MI
10089,heliport,Cobb General Hospital Heliport,34,-85,US,US-GA
10090,small_airport,Burk Personal Use Airport,40,-86,US,US-IN
10091,small_airport,G. Bray Airport,40,-90,US,US-IL
10092,small_airport,Windy P Ridge Airport,40,-85,US,US-IN
10093,small_airport,Jim Wehrli Memorial Airport,41,-89,US,US-IL
10095,small_airport,Lone Pine Aerodrome,37,-87,US,US-KY
10097,heliport,Il Dept of Corrections/Lawrence County Heliport,39,-88,US,US-IL
10099,heliport,Crowhurst Heliport,43,-71,US,US-MA
10100,small_airport,De Witt Property Airport,43,-86,US,US-MI
10103,small_airport,Colle Field,30,-89,US,US-MS
10104,heliport,Carolinas Medical Center Heliport,35,-81,US,US-NC
10107,heliport,Stone Song Heliport,43,-72,US,US-NH
10108,heliport,Chilton Memorial Hospital Heliport,41,-74,US,US-NJ
10109,small_airport,Hendershot Airport,43,-78,US,US-NY
10110,small_airport,Arend Airport,41,-85,US,US-OH
10111,small_airport,Snoddy Air Strip,41,-82,US,US-OH
10114,small_airport,Waltz Airport,40,-77,US,US-PA
45774,small_airport,Fox Field,40,-77,US,US-PA
10119,small_airport,Yuba Airport,45,-85,US,US-MI
10120,heliport,Loudoun Hospital Center Heliport,39,-77,US,US-VA
10122,small_airport,Thiessen Field,43,-90,US,US-WI
301246,heliport,Citronelle / Silcox Memorial Heliport,31,-88,US,US-AL
10127,small_airport,Wells Airport,43,-86,US,US-MI
10132,small_airport,Rimes Lakecrest Airport,29,-82,US,US-FL
10133,small_airport,Rush Airport,30,-83,US,US-FL
10134,heliport,St Vincent's Medical Center Heliport,30,-82,US,US-FL
10135,heliport,Buford Precinct Heliport,34,-84,US,US-GA
10136,small_airport,Brown Airport,42,-86,US,US-IN
10137,small_airport,Clarion Field,42,-89,US,US-IL
10138,small_airport,Ellison Airport,40,-86,US,US-IN
10139,small_airport,Enoch Airport,40,-89,US,US-IL
10140,balloonport,Cyber Density Balloon Spot Balloonport,40,-75,US,US-NJ
10142,small_airport,Welcome Field,37,-87,US,US-KY
10143,small_airport,Carriage Lane Airport,42,-84,US,US-MI
10145,heliport,Crawford Memorial Hospital Heliport,39,-88,US,US-IL
10147,heliport,Vortex Heliport,30,-89,US,US-MS
10148,heliport,Idlewide Heliport,43,-71,US,US-MA
10149,small_airport,Matinicus Island Airport,44,-69,US,US-ME
10150,small_airport,Law Field,43,-85,US,US-MI
10153,small_airport,Johnston Airport,36,-81,US,US-NC
45522,seaplane_base,Cobbetts Pond Seaplane Base,43,-71,US,US-NH
10155,heliport,Mid-State Heliport,41,-76,US,US-NJ
10156,small_airport,Ciszak Airport,43,-79,US,US-NY
10157,heliport,Gainey Heliport,41,-82,US,US-OH
10158,heliport,Fawcett Center For Tomorrow Heliport,40,-83,US,US-OH
